threat_condition,source_condition,christian,conservative_political_beliefs_normalized,authoritarian_answers_total,religious_beliefs_total,religious_evaluative_bias_total,threatened,article_quality,article_convinvingness,gender,age,employment,income,education,religious_affiliation,political_party,ethnicity,marital_status,article_comprehension,god_belief,certain_of_god_belief,religious_importance,religious_attendance,prayer_frequency,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,attention_check_1,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,political_beliefs_religious_1,political_beliefs_religious_2,political_beliefs_religious_3,political_beliefs_religious_4,political_beliefs_conservative_5,political_beliefs_conservative_6,political_beliefs_conservative_7,political_beliefs_conservative_8,attention_check_2,political_beliefs_9,political_beliefs_10,political_beliefs_11,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,purpose_guess,guess_certainty,start_time,end_time,total_time
2,1,0,-8.558190185,1,14,14,2,12,14,1,37,2,2,6,2,2,3,3,1,2,3,2,1,1,2,2,1,2,3,4,3,2,4,4,2,1,1,2,4,1,1,1,1,3,2,2,1,1,7,0,1,0,0,I am not sure. Something about political tendencies related to personal characteristics maybe.,2,2018-06-21-19-40,2018-06-21-19-52,12
2,2,0,17.19675817,2,21,27,2,13,15,1,37,1,4,10,3,1,1,1,1,1,14,2,1,4,1,1,4,5,5,5,3,1,2,5,4,4,5,5,3,5,4,5,5,5,5,2,100,100,100,1,0,1,0,do not know,1,2018-05-30-17-06,2018-05-30-17-10,4
2,1,0,-9.489504575,1,11,21,2,13,14,1,37,1,6,9,1,3,1,5,1,2,6,1,1,1,1,1,1,1,4,3,3,2,3,5,3,3,3,1,1,1,1,1,2,2,3,2,5,1,50,0,1,0,0,How are political views associated with religious ideology?,3,2018-05-30-18-25,2018-05-30-18-34,9
1,2,0,3.586255678,2,15,22,2,12,10,2,37,1,6,5,11,3,3,1,1,1,11,3,1,1,2,2,3,3,3,2,3,2,2,4,3,3,4,4,3,4,3,2,2,4,3,2,51,55,50,1,0,1,0,"I feel that it was testing people's religious and political views, and whether they fall in line with the article that was presented at the beginning of the study.",2,2018-06-21-20-38,2018-06-21-20-52,14
1,2,0,-5.682200467,1,6,26,2,3,3,1,37,1,9,9,1,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,3,1,1,1,5,5,5,1,3,1,1,4,1,1,4,2,28,27,28,0,1,0,0,I think this study is measuring religion in the US,2,2018-06-11-19-34,2018-06-11-19-44,10
2,2,0,-14.26579538,1,6,30,2,9,8,2,37,1,11,6,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,I assume religious beliefs impacting political beleifs,3,2018-06-09-16-33,2018-06-09-16-38,5
1,2,0,1.812459406,2,20,20,2,12,10,2,38,2,3,8,11,4,1,1,2,1,13,4,2,4,3,3,4,3,4,3,3,4,1,5,3,2,3,2,3,1,3,3,4,3,4,2,50,36,58,0,1,0,1,I honestly have no idea what underlying meaning this survey had.  I try not to dwell on such things.,4,2018-05-30-20-16,2018-05-30-20-22,6
1,2,0,1.480448179,4,18,25,2,9,9,2,38,3,4,8,11,3,3,5,1,1,6,3,1,2,3,3,3,3,3,3,3,1,1,5,3,3,4,3,4,1,3,1,3,3,4,2,50,50,50,1,1,1,1,The study was conducted to find our preferences on personal conduct.,3,2018-05-30-00-34,2018-05-30-00-43,9
1,2,0,-10.91326049,1,12,28,1,9,1,1,38,1,11,9,1,2,1,1,1,2,1,1,1,1,1,1,3,1,3,3,3,1,1,5,5,5,3,1,5,1,1,1,1,1,1,2,1,1,1,0,1,0,0,questioning authority or government seems to be related question?,3,2018-05-30-15-58,2018-05-30-16-04,6
1,2,0,0.5683286851,3,21,18,2,14,13,1,39,2,5,9,11,3,3,3,1,1,12,4,1,6,3,3,4,4,3,4,3,2,4,4,3,2,3,3,2,1,2,1,4,4,4,2,50,44,56,1,0,1,1,level of religious sentiment,3,2018-05-30-00-08,2018-05-30-00-16,8
2,2,0,15.07221015,3,18,20,2,12,13,2,39,1,5,9,11,1,2,1,1,1,4,3,1,2,3,3,3,3,3,3,3,3,2,4,3,3,3,4,4,3,4,5,4,5,5,2,100,100,100,1,0,1,1,belief on separation of church and state.    cool beans,3,2018-05-29-23-50,2018-05-30-00-00,10
1,1,0,-4.845702584,2,10,30,1,1,1,2,39,1,6,10,1,3,1,5,1,1,13,1,1,1,1,1,1,1,3,3,3,1,1,5,5,5,5,1,3,3,1,1,1,3,3,2,36,8,60,0,1,1,0,~~I'm really not sure,1,2018-05-30-18-47,2018-05-30-18-53,6
1,1,0,4.071092805,2,11,21,1,10,11,1,39,5,7,7,1,1,1,1,1,2,3,2,1,1,2,1,2,1,3,2,3,2,4,5,3,4,3,1,3,1,2,4,4,4,4,2,70,55,91,1,1,0,0,I think the purpose of this study is to see how open minded people from different back grounds really are.,3,2018-06-02-23-31,2018-06-02-23-39,8
2,2,0,-14.07024699,1,18,24,2,11,14,1,40,2,1,6,11,2,1,3,1,1,1,5,1,6,1,1,5,1,5,5,3,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,1,1,7,0,1,0,0,"Something involving religious beliefs. Beyond that, no idea.",2,2018-05-29-20-43,2018-05-29-20-49,6
1,1,0,-10.54759022,1,10,24,1,11,11,2,40,1,5,6,2,2,1,1,1,2,2,1,1,1,1,1,1,1,3,3,3,1,2,4,4,3,4,1,1,1,1,1,1,1,4,2,16,13,18,0,1,0,0,I am not sure,2,2018-06-13-02-14,2018-06-13-02-21,7
1,2,0,-8.218611519,1,6,20,1,3,4,2,40,1,7,9,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,2,2,4,3,3,2,2,2,1,2,2,2,2,1,2,18,9,21,0,1,0,0,I believe the study was about opinions between liberal and conservative beliefs,2,2018-06-09-17-26,2018-06-09-17-37,11
2,2,0,7.571546742,1,14,22,2,12,12,2,40,1,11,10,1,3,2,1,1,2,10,2,2,1,5,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,5,5,5,5,2,51,58,58,0,1,0,0,What is the connection between religiosity and political inclination and how much those affect our positions on matters of the laws,4,2018-06-21-20-45,2018-06-21-20-52,7
2,1,0,1.820878092,1,22,16,2,12,12,2,41,2,2,7,11,3,1,1,1,1,14,6,1,6,1,2,4,5,5,5,3,2,3,3,2,2,2,1,2,1,1,4,4,3,5,2,63,67,66,0,1,0,0,To see what people of different faiths think about political issues.,3,2018-05-29-20-16,2018-05-29-20-21,5
2,1,0,-5.637216008,1,12,18,2,13,13,2,41,1,5,10,1,2,6,1,1,2,3,3,2,1,3,3,1,1,1,3,3,3,3,3,3,3,3,1,3,4,2,2,1,1,3,2,18,21,21,0,1,0,0,To find out how the conservative/right wing ideas are taken by people.,5,2018-06-13-02-14,2018-06-13-02-31,17
2,2,0,-11.93719199,1,6,16,2,13,14,2,41,1,12,10,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,3,1,1,1,1,1,1,1,2,2,10,1,40,0,1,0,0,The study's purpose may have been to measure religiosity of participants after being told religion is on the decline.,3,2018-06-08-18-35,2018-06-08-18-41,6
1,2,0,-0.4242975863,3,11,14,2,11,9,1,42,1,3,5,1,4,1,3,1,2,9,1,1,1,1,1,2,1,3,3,3,2,4,2,2,2,2,1,3,1,2,4,2,3,4,2,51,49,50,1,0,1,1,I don't know what it was about.,2,2018-05-29-23-51,2018-05-29-23-59,8
2,2,0,-13.42766166,1,10,30,2,16,16,1,43,2,4,9,1,2,1,3,1,2,3,1,1,1,1,1,1,1,3,3,3,1,1,5,5,5,5,1,2,1,1,1,1,1,1,2,1,1,1,0,1,0,0,How religion influences opinions and beliefs.,5,2018-05-29-23-50,2018-05-29-23-55,5
2,2,0,-5.930416294,2,28,21,1,13,16,1,43,1,9,8,11,3,3,1,2,1,14,4,1,6,5,5,5,5,5,3,3,1,3,3,4,3,3,1,1,1,3,1,1,4,4,2,17,16,40,0,1,1,0,To find out my religious beliefs. And my political beliefs.,6,2018-06-08-19-09,2018-06-08-19-23,14
1,2,0,1.38905634,1,10,18,2,4,3,1,44,5,2,8,2,3,1,5,1,2,2,2,1,1,1,1,2,2,2,2,3,2,2,3,3,2,2,4,2,2,1,3,3,4,3,2,57,63,40,0,1,0,0,I assume the article was generated for me since I clicked 'atheist.' It was trying to annoy me and influence my answers on the later questions. So the experiment was to see if the provocation worked.,3,2018-06-22-03-38,2018-06-22-03-48,10
1,1,0,2.636036887,2,6,22,2,13,12,1,44,1,3,6,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,5,3,3,3,2,3,2,2,3,4,3,5,2,43,51,54,0,1,1,0,I am not sure maybe about religion,4,2018-06-22-03-38,2018-06-22-03-43,5
2,1,0,3.182482305,1,11,20,2,14,14,2,44,1,3,9,1,3,1,1,1,2,1,3,1,1,2,1,1,1,3,3,3,3,2,3,3,4,3,2,3,5,1,3,1,5,5,2,50,49,51,0,1,0,0,changes in us morality,5,2018-06-03-05-11,2018-06-03-05-26,15
1,2,0,-0.9397302062,1,16,20,2,12,12,1,44,2,10,9,1,3,1,5,1,2,5,1,1,1,3,3,2,2,3,3,3,2,3,4,2,3,4,1,2,1,1,1,2,3,4,2,72,78,94,0,1,0,0,What values people of different religious affiliations emphasize.,2,2018-05-30-19-43,2018-05-30-19-53,10
1,2,0,-4.101377389,1,12,24,2,10,12,1,45,1,5,7,2,3,1,5,1,2,3,2,1,1,2,2,2,2,2,2,3,2,2,4,4,4,4,2,2,1,2,2,2,4,4,2,25,1,33,0,1,0,0,"Study correlation between religious practice and political, social and parenting norms.",3,2018-06-21-19-37,2018-06-21-19-46,9
1,2,0,-14.26579538,1,13,15,1,9,10,1,45,1,11,9,1,2,1,1,1,2,3,1,1,1,1,1,3,1,3,4,3,3,4,3,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,"I think they might have been trying to determine if, and to what extent if applicable, my religious views (or lack of) affect my overall thinking.",4,2018-06-09-17-36,2018-06-09-17-47,11
2,2,0,-14.26579538,1,6,20,2,8,8,2,46,4,1,7,2,3,6,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,idk sthg about imaginary gods etc,2,2018-06-09-16-33,2018-06-09-16-40,7
1,1,0,3.948777183,2,23,20,1,11,9,1,46,3,7,4,11,3,1,1,1,1,12,4,1,2,4,3,5,3,4,4,3,2,3,4,3,3,3,2,3,2,3,4,3,3,3,2,66,72,76,1,0,1,0,My views on religion and belief in God.,2,2018-06-02-23-27,2018-06-02-23-36,9
2,1,0,-8.055329734,1,8,21,2,16,16,2,47,1,4,7,2,3,1,3,1,2,1,1,1,1,1,1,1,1,2,2,3,2,2,4,3,3,3,1,2,1,2,1,3,4,1,2,9,9,9,0,1,0,0,I really have no idea what the purpose of the study is.,1,2018-05-30-17-48,2018-05-30-17-54,6
2,2,0,5.762967043,3,13,22,2,13,10,1,48,2,3,8,1,1,1,1,1,1,9,2,1,1,2,2,2,2,2,3,3,2,3,4,4,4,3,2,3,4,2,4,4,2,5,2,67,62,73,1,0,1,1,It is about how American have various beliefs from religious to daily government issues that they either grew up with and/or that they have now as an adult.,2,2018-06-02-23-29,2018-06-02-23-53,24
2,1,0,-4.484783221,3,17,20,2,9,12,1,48,1,11,10,11,3,5,1,1,2,6,1,1,1,3,3,3,2,3,3,3,2,3,3,3,3,4,1,2,3,1,2,1,3,3,2,49,1,70,1,1,1,0,How does one's religious or non religious beliefs affect the way they interpret world events?,2,2018-06-02-23-28,2018-06-02-23-40,12
1,1,0,13.20155832,1,10,22,2,9,8,2,49,2,1,7,2,4,1,3,1,2,1,4,2,1,1,1,1,1,1,5,3,1,3,5,3,3,3,3,5,5,5,5,5,5,5,2,50,1,100,0,1,0,0,"I do not analyze tasks such as this so as not to taint the science being done, and so as not to prime or bias myself regarding future tasks. For this same reason I do not debrief. I completed all tasks diligently and in good faith. Thank you very much for the opportunity to participate in your research.",1,2018-06-21-23-16,2018-06-21-23-22,6
1,2,0,5.14657081,1,16,15,1,3,1,1,50,1,6,8,1,3,1,3,1,2,3,1,1,1,2,2,3,3,3,3,3,3,4,3,3,2,2,1,3,4,1,4,2,3,5,2,80,75,100,0,1,0,0,I suppose you want to know how people's religious beliefs correlate with their political views.,4,2018-06-03-05-53,2018-06-03-06-05,12
1,1,0,-3.132856229,1,11,22,2,10,13,2,50,1,10,9,1,3,1,1,1,2,1,1,1,1,1,1,2,3,1,3,3,1,1,5,3,1,3,1,3,1,2,2,3,2,2,2,48,29,76,0,1,0,0,"how come  one question per page ? I can't really say, but I'm certainly curious.",4,2018-06-21-18-31,2018-06-21-18-40,9
2,1,0,-9.131348537,1,23,24,2,11,13,1,51,5,6,5,11,3,1,1,1,1,12,2,1,4,3,3,3,4,5,5,3,2,2,4,4,4,4,1,3,1,1,1,1,1,4,2,17,12,10,0,1,0,0,"If i have to guess, then im going to guess this was potentially about morality",2,2018-06-09-16-34,2018-06-09-16-42,8
2,1,0,-12.061051,1,13,25,2,11,13,1,52,3,3,9,1,2,1,5,1,1,11,2,1,1,3,1,2,1,3,3,3,1,1,4,3,5,3,1,1,1,1,1,1,1,3,2,9,7,8,0,1,0,0,"Studying if religious belief corresponds with political issues, for example more religious people might be anti gay marriage",2,2018-06-02-23-33,2018-06-02-23-45,12
1,1,0,3.321608361,1,13,21,2,5,5,2,52,1,4,10,1,3,1,5,1,2,4,1,1,5,2,2,2,2,2,3,3,2,2,4,3,3,3,3,3,3,2,4,2,3,4,2,55,50,70,0,1,0,0,if your religious belief affects your political belief,2,2018-06-02-23-34,2018-06-02-23-48,14
2,2,0,-12.24460089,1,14,29,2,12,8,1,54,2,4,6,1,2,1,5,1,2,4,1,1,2,2,1,3,1,3,4,3,1,1,5,5,4,5,1,2,1,1,1,1,1,2,2,5,1,10,1,0,0,0,Whether the original article's claim that the country is becoming less religious affected how we felt about certain issues,2,2018-06-22-03-39,2018-06-22-03-57,18
1,1,0,0.9378508054,2,15,22,1,10,4,1,54,1,8,8,1,3,1,3,1,2,11,1,1,5,1,1,3,3,3,4,3,1,3,5,3,3,3,3,1,1,2,4,1,4,5,2,55,55,65,1,1,0,0,I believe the article about the increase in religiousness was not a real article. I think the study is to determine religious traits in different population groups.,4,2018-06-11-19-33,2018-06-11-19-41,8
1,2,0,-9.344294008,1,16,10,1,3,4,1,55,2,3,7,8,2,1,5,1,2,9,3,1,2,3,3,2,3,3,2,3,4,4,2,2,1,1,2,1,1,1,1,1,2,4,2,15,10,13,0,1,0,0,"I think this experiment may be about whether we can recognize when so-called 'research' is spurious?  I believe the article we read in the beginning was probably derived from a spurious study and may have been intended to put doubt in our minds, which might then affect our later answers in predictable ways. ~~",3,2018-06-08-18-38,2018-06-08-18-54,16
1,2,0,-2.412507475,3,13,24,2,7,5,2,55,2,3,5,2,1,1,5,1,2,1,1,1,1,2,2,2,1,3,3,3,2,2,4,4,4,4,1,3,1,2,2,2,1,4,2,75,30,70,1,0,1,1,Not quite sure what the question you are researching here is.,1,2018-06-21-17-48,2018-06-21-17-57,9
1,1,0,-11.22806738,1,16,30,1,16,9,1,57,1,12,9,11,2,1,1,1,1,12,2,3,1,3,1,3,3,3,3,3,1,1,5,5,5,5,1,1,1,1,2,4,1,1,2,1,1,1,0,1,0,0,To determine how religious beliefs affect political views.,4,2018-05-30-18-17,2018-05-30-18-24,7
2,2,0,-1.96290185,2,11,20,2,4,2,2,58,1,11,11,11,2,1,1,2,2,2,2,1,1,3,3,1,1,1,2,3,1,1,4,2,1,3,1,4,2,1,4,1,2,4,2,63,1,62,0,1,0,1,Social and political views concerning religion and the up bring of children.,2,2018-06-03-05-44,2018-06-03-05-53,9
1,2,0,-13.21213147,1,11,23,1,5,2,1,64,7,6,10,1,2,1,3,2,2,3,1,1,2,1,1,2,1,2,4,3,1,2,5,3,3,3,1,1,1,1,1,1,1,2,2,6,1,5,0,1,0,0,It appears to be investigating liberal versus conservative attitudes and how that relates to religiosity.,3,2018-06-02-23-26,2018-06-02-23-42,16
2,1,0,-4.658567972,1,25,24,2,3,14,1,65,2,4,7,11,2,1,3,1,1,14,4,1,5,4,3,4,4,5,5,3,2,2,4,4,4,4,2,4,1,1,2,3,3,1,2,25,21,36,0,1,0,0,I think you are rating peoples religiousness,3,2018-06-02-16-07,2018-06-02-16-15,8
2,2,0,-4.465943,1,26,27,2,15,15,1,65,2,4,7,11,4,1,3,1,1,14,5,1,5,5,3,4,4,5,5,3,1,1,5,4,4,4,2,3,1,2,2,4,3,1,2,20,15,31,0,1,0,0,are people religious and how much,4,2018-05-30-19-46,2018-05-30-20-04,18
2,2,0,-10.47984218,1,6,23,2,9,9,2,69,7,4,6,11,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,5,4,3,3,1,2,1,1,1,1,2,3,2,8,8,8,1,0,0,0,My best guess is that the purpose of this study was to try to understand how different types of people feel about religion.,3,2018-06-08-17-36,2018-06-08-17-46,10
2,1,1,3.690810326,2,23,23,1,12,10,1,19,6,7,5,5,2,5,5,1,1,12,3,2,3,5,4,3,3,4,4,3,2,2,3,4,4,4,4,4,2,2,3,4,3,4,2,25,58,49,1,1,0,0,I think it's a study on the degree to which religion decline should be concerned.,2,2018-06-09-17-26,2018-06-09-17-30,4
1,2,1,-6.792639092,2,20,25,2,11,9,2,19,6,12,8,5,2,1,5,1,1,12,4,4,2,3,3,4,3,3,4,3,1,2,4,4,4,4,1,2,1,2,1,4,1,2,2,30,28,28,0,1,1,0,How do religious and political affiliations affect answers to political and religious questions?,3,2018-06-21-18-31,2018-06-21-18-38,7
1,2,1,7.210737444,1,23,16,2,15,16,2,21,6,8,6,5,1,1,5,2,1,3,2,2,2,3,3,3,4,5,5,3,1,3,3,1,2,2,4,2,4,3,2,3,5,3,2,76,69,100,0,0,1,0,I think this study was about religion and opinions.,5,2018-05-30-19-48,2018-05-30-19-51,3
2,2,1,14.56745872,3,29,10,1,14,14,2,21,6,8,7,7,1,1,5,1,1,14,4,1,1,5,5,5,4,5,5,3,2,5,1,2,1,1,5,5,5,1,2,5,5,5,2,100,100,100,1,0,1,1,General political survey is my guess.,3,2018-06-09-04-25,2018-06-09-04-31,6
1,2,1,-6.694502813,0,19,17,2,9,9,1,22,2,2,8,5,3,1,5,1,1,14,5,1,6,3,3,3,3,3,4,3,3,4,3,3,3,3,1,4,1,3,1,1,1,3,2,19,15,30,0,0,0,0,to see people's opinions on various social issues,3,2018-05-30-15-47,2018-05-30-15-52,5
2,2,1,-5.98180456,1,16,18,1,5,2,1,22,1,3,5,5,1,1,5,1,1,1,1,1,2,2,3,4,2,3,2,3,1,2,2,3,2,2,3,1,1,1,1,1,2,3,2,45,48,47,0,1,0,0,My religious background.And my regiloion values and how they connect with my political beliefs.,6,2018-06-21-18-31,2018-06-21-18-38,7
1,1,1,-11.04373438,2,21,28,2,6,4,1,22,1,4,9,5,2,3,5,1,1,12,2,1,1,4,2,3,4,4,4,3,1,1,5,4,5,4,1,3,1,1,1,2,1,2,2,1,1,1,0,1,1,0,How peoples opinions effect their parenting style,2,2018-06-07-01-33,2018-06-07-01-44,11
1,2,1,-6.655836769,1,17,22,2,13,11,1,22,3,5,9,5,2,2,5,1,1,12,4,2,4,3,2,4,2,3,3,3,1,1,5,3,1,3,4,2,1,1,1,2,2,1,2,30,49,14,0,1,0,0,I believe the study is trying to figure out the correlation between religion and politics.,2,2018-06-12-19-58,2018-06-12-20-05,7
2,2,1,6.497241732,2,23,16,1,11,6,1,22,1,5,6,6,2,1,5,1,1,2,5,5,6,4,5,2,3,4,5,3,2,1,1,1,2,3,4,5,4,4,5,1,4,5,2,19,26,43,1,0,0,1,The opinions about religion,3,2018-06-09-17-25,2018-06-09-17-32,7
1,1,1,-1.416939512,2,15,18,1,12,10,2,22,1,6,8,5,2,5,1,1,1,12,5,3,4,3,2,3,2,3,2,3,3,4,3,4,4,2,3,4,2,3,4,3,3,3,2,1,1,1,0,1,1,0,My personal opinions and self reflection to a particular opinion,4,2018-06-21-23-15,2018-06-21-23-21,6
1,1,1,2.218480386,4,17,19,2,13,13,1,22,1,7,9,7,3,1,5,1,1,12,4,4,4,3,3,2,2,3,4,3,3,3,4,3,3,3,2,4,1,3,2,3,3,4,2,60,55,60,1,1,1,1,To measure attitudes towards religion against political leanings,3,2018-06-09-05-07,2018-06-09-05-18,11
2,2,1,2.403627616,2,22,23,1,14,14,1,23,5,2,5,5,3,1,1,1,1,12,3,1,1,4,4,4,3,3,4,3,2,2,4,4,3,4,2,3,2,2,4,4,2,4,2,56,54,56,1,0,1,0,To obtain opinions regarding current events.,3,2018-06-07-18-10,2018-06-07-18-22,12
1,1,1,-10.99096702,2,30,21,2,1,1,1,23,1,7,9,7,2,5,5,1,1,14,6,5,5,5,5,5,5,5,5,3,1,1,4,1,1,5,1,4,1,1,1,1,1,1,2,10,9,7,0,1,1,0,Religion plays a role in how people see social change in the US,3,2018-06-09-06-11,2018-06-09-06-14,3
1,1,1,-2.619996576,1,24,21,2,9,10,2,24,1,3,9,7,2,5,5,1,1,12,4,5,4,4,4,4,4,4,4,3,1,2,4,4,2,2,3,3,1,2,2,2,2,4,2,25,29,47,0,1,0,0,I believe the purpose of this study is to see how different people react to current events,3,2018-05-30-00-34,2018-05-30-00-52,18
1,2,1,-12.58952794,2,6,22,2,16,16,2,24,1,3,8,5,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,1,1,3,1,1,1,1,1,1,2,1,1,1,0,1,1,0,Religious acceptance in accordance with age and political belief.,1,2018-06-11-19-44,2018-06-11-19-49,5
1,2,1,3.564176659,3,25,20,2,16,16,1,24,1,4,4,7,3,3,1,1,1,14,6,5,6,5,4,4,4,4,4,3,1,3,4,4,3,1,4,4,3,3,2,3,3,3,2,50,50,50,1,0,1,1,I believe the purpose was decision making and mind thinking and judgement.,6,2018-06-07-02-02,2018-06-07-02-07,5
1,1,1,6.746953125,1,22,22,2,12,10,2,24,1,5,9,6,3,1,5,1,1,12,4,4,4,4,4,3,3,4,4,3,2,2,4,3,4,3,3,4,4,3,5,2,3,4,2,68,76,44,0,1,0,0,I think how our beliefs effect our social and economical perception. My best guess,4,2018-06-02-15-56,2018-06-02-16-04,8
1,1,1,7.443984415,1,27,13,2,12,11,2,24,1,5,9,7,3,1,5,1,1,14,5,5,4,2,5,5,5,5,5,3,2,3,3,1,1,1,2,5,2,4,2,4,4,5,2,60,60,74,0,0,1,0,To get a view on what people's religious standings are and their views on children behaviors.,1,2018-06-09-04-24,2018-06-09-04-32,8
1,2,1,2.022601714,4,13,21,2,12,10,1,25,1,5,9,5,1,1,5,1,2,3,2,3,1,1,1,2,4,2,3,3,2,2,4,3,3,3,2,3,1,2,5,2,1,4,2,79,83,64,1,1,1,1,to see how the thoughts on current events are based off religion,2,2018-06-13-03-47,2018-06-13-04-04,17
1,2,1,8.242103578,2,21,18,1,12,10,2,25,1,5,9,6,2,3,1,1,1,12,5,3,3,4,4,2,4,3,4,3,3,1,2,4,2,2,4,3,3,4,4,3,4,4,2,66,84,58,0,0,1,1,I BELIEVE THE PURPOSE OF THIS STUDY WAS TO GATHER DATA O RELIGION OPTIONS,3,2018-05-30-20-05,2018-05-30-20-18,13
1,2,1,-2.556797809,2,16,19,1,16,16,2,25,1,6,5,5,3,3,5,1,2,9,1,1,1,3,3,1,3,3,3,3,2,3,3,3,3,3,2,2,2,1,1,2,2,5,2,50,50,50,0,1,1,0,This was about what the world is coming to.,2,2018-05-30-18-24,2018-05-30-18-30,6
2,1,1,9.011599892,1,30,22,1,14,15,2,26,1,2,5,5,2,3,5,1,1,14,6,6,6,5,5,5,5,5,5,3,1,1,5,5,1,1,5,5,4,5,1,5,5,5,2,37,15,28,0,0,1,0,I am watching tv. im listening to music.,4,2018-05-30-17-27,2018-05-30-17-32,5
2,2,1,12.28881383,2,28,8,1,15,13,2,26,1,4,9,5,1,3,5,2,1,13,6,6,6,5,4,5,5,5,4,3,4,5,2,1,1,1,5,5,5,5,5,4,3,5,2,16,74,57,1,0,1,1,people religious believes,4,2018-06-21-20-37,2018-06-21-20-52,15
1,1,1,-0.3150531209,0,15,17,2,12,10,1,26,1,5,7,5,4,2,1,1,1,13,6,6,6,1,1,3,5,4,1,3,2,5,2,4,3,3,3,4,3,1,3,3,2,1,2,50,50,50,0,0,0,0,I think it's about religion and how religious people view current events versus non-religious people,3,2018-06-11-19-34,2018-06-11-19-40,6
2,2,1,8.443797877,1,24,17,1,14,14,2,26,1,8,9,6,1,1,1,1,1,12,4,4,3,4,4,4,4,4,4,3,2,3,3,3,2,2,4,3,3,3,5,4,3,4,2,64,76,76,0,0,1,0,GOOD,5,2018-05-30-15-46,2018-05-30-15-51,5
2,1,1,9.132526539,1,24,16,1,9,10,1,27,1,3,9,6,1,2,4,1,1,8,4,5,3,4,4,4,4,4,4,3,2,2,2,2,2,2,4,4,4,3,3,4,3,4,2,81,86,63,0,0,1,0,GOOD,4,2018-06-21-23-25,2018-06-21-23-31,6
1,2,1,-5.050051877,3,29,24,2,16,13,1,27,1,3,9,7,2,3,1,1,1,14,5,3,4,5,4,5,5,5,5,3,2,2,4,4,4,4,2,4,1,5,2,2,1,1,2,13,13,20,1,0,1,1,To evaluate political preferences based on religious beliefs,4,2018-06-03-06-00,2018-06-03-06-12,12
2,2,1,0.5125857291,3,25,16,1,12,13,2,27,1,4,9,5,2,1,5,1,1,12,4,5,4,5,4,4,4,4,4,3,2,4,3,2,3,2,2,4,2,2,4,4,4,3,2,30,1,30,1,0,1,1,To see how people perceive others and get along with all religions,5,2018-06-03-06-00,2018-06-03-06-09,9
1,1,1,5.265752171,2,26,18,1,9,11,1,27,2,5,9,5,2,1,1,1,1,12,5,4,3,5,4,4,5,5,3,3,1,4,4,1,5,1,3,1,1,3,5,5,4,5,2,50,44,73,0,1,0,1,I felt there was some relation to psychology.,3,2018-06-03-05-15,2018-06-03-05-21,6
2,1,1,-0.9701892178,2,26,20,2,11,12,1,27,5,5,9,5,3,1,1,1,1,14,4,5,4,4,4,5,4,5,4,3,2,2,3,3,3,3,3,3,1,2,2,3,3,2,2,50,50,50,1,1,0,0,I'm not sure and this survey has already gone on too long based off the pay.,1,2018-06-12-20-33,2018-06-12-20-41,8
1,2,1,10.81123231,3,27,26,2,16,16,2,27,2,5,8,5,1,2,5,1,1,14,6,3,6,5,2,5,5,5,5,3,1,1,5,3,5,3,4,4,1,5,3,3,3,5,2,100,100,100,1,1,1,0,Study on opinions regarding current events and our beliefs.,4,2018-06-21-20-52,2018-06-21-21-02,10
2,2,1,9.058068188,3,21,17,1,13,13,2,27,1,5,6,5,1,5,5,1,1,14,4,3,4,3,3,2,4,4,5,3,1,2,2,2,2,2,2,4,2,3,5,4,4,5,2,70,77,84,1,1,1,0,Understand religious beliefs and political views,4,2018-06-07-18-05,2018-06-07-18-11,6
2,1,1,1.022843849,1,30,19,2,15,16,2,27,6,6,8,5,2,2,5,1,1,14,6,6,6,5,5,5,5,5,5,3,1,4,5,3,3,1,3,5,3,5,1,3,1,2,2,41,33,38,0,0,0,1,About religion and certain hot topics.,5,2018-05-30-17-42,2018-05-30-17-52,10
2,2,1,11.92562508,2,25,21,1,13,12,2,27,2,7,9,6,1,1,5,1,1,10,5,4,3,4,4,4,5,5,3,3,2,1,2,2,4,4,5,4,4,2,4,4,5,4,2,83,81,86,1,0,1,0,opinion survey,5,2018-05-30-16-09,2018-05-30-16-22,13
