id,condition,duration,dem_gender,dem_age,dem_employment,dem_income,dem_education,dem_religion,dem_religion_12_TEXT,dem_religious,dem_party,dem_party_4_TEXT,dem_ethnicity,dem_ethnicity_8_TEXT,dem_marriage,dem_orientation,dem_orientation_4_TEXT,letter_timing_first_click,letter_timing_last_click,letter_timing_page_submit,letter_timing_click_count,pti_ii_religion,pti_ii_politics,pti_ii_gender,pti_ii_orientation,pti_ii_age,pti_ii_race,pti_ii_family,pti_ii_profession,pti_ii_other_label,pti_ii_other,pti_ii_rank_order_1,pti_ii_rank_order_2,pti_ii_rank_order_3,pti_ii_rank_order_4,pti_ii_rank_order_5,pti_ii_rank_order_6,pti_ii_rank_order_7,pti_ii_rank_order_8,pti_ii_rank_order_9,pti_1,pti_2,pti_3,pti_4,pti_5,pti_6,attention_check_1,pti_7,pti_8,pti_9,pti_10,pti_11,pti_12,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,attention_check_2,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,cm_1,cm_2,cm_3,cm_4,cm_5,crt_1,crt_2,crt_3,attention_check_crt,pol_att_01,pol_att_02,pol_att_03,pol_att_04,pol_att_05,pol_att_06,pol_att_07,pol_att_08,pol_att_09,pol_att_10,pol_att_11,Fake1_2,Fake1_RT_first_click,Fake1_RT_last_click,Fake1_RT_page_submit,Fake1_RT_click_count,Fake2_2,Fake2_RT_first_click,Fake2_RT_last_click,Fake2_RT_page_submit,Fake2_RT_click_count,Fake3_2,Fake3_RT_first_click,Fake3_RT_last_click,Fake3_RT_page_submit,Fake3_RT_click_count,Fake4_2,Fake4_RT_first_click,Fake4_RT_last_click,Fake4_RT_page_submit,Fake4_RT_click_count,Fake5_2,Fake5_RT_first_click,Fake5_RT_last_click,Fake5_RT_page_submit,Fake5_RT_click_count,Fake6_2,Fake6_RT_first_click,Fake6_RT_last_click,Fake6_RT_page_submit,Fake6_RT_click_count,Fake7_2,Fake7_RT_first_click,Fake7_RT_last_click,Fake7_RT_page_submit,Fake7_RT_click_count,Fake8_2,Fake8_RT_first_click,Fake8_RT_last_click,Fake8_RT_page_submit,Fake8_RT_click_count,Fake9_2,Fake9_RT_first_click,Fake9_RT_last_click,Fake9_RT_page_submit,Fake9_RT_click_count,Fake10_2,Fake10_RT_first_click,Fake10_RT_last_click,Fake10_RT_page_submit,Fake10_RT_click_count,Fake11_2,Fake11_RT_first_click,Fake11_RT_last_click,Fake11_RT_page_submit,Fake11_RT_click_count,Fake12_2,Fake12_RT_first_click,Fake12_RT_last_click,Fake12_RT_page_submit,Fake12_RT_click_count,Real1_2,Real1_RT_first_click,Real1_RT_last_click,Real1_RT_page_submit,Real1_RT_click_count,Real2_2,Real2_RT_first_click,Real2_RT_last_click,Real2_RT_page_submit,Real2_RT_click_count,Real3_2,Real3_RT_first_click,Real3_RT_last_click,Real3_RT_page_submit,Real3_RT_click_count,Real4_2,Real4_RT_first_click,Real4_RT_last_click,Real4_RT_page_submit,Real4_RT_click_count,Real5_2,Real5_RT_first_click,Real5_RT_last_click,Real5_RT_page_submit,Real5_RT_click_count,Real6_2,Real6_RT_first_click,Real6_RT_last_click,Real6_RT_page_submit,Real6_RT_click_count,Real7_2,Real7_RT_first_click,Real7_RT_last_click,Real7_RT_page_submit,Real7_RT_click_count,Real8_2,Real8_RT_first_click,Real8_RT_last_click,Real8_RT_page_submit,Real8_RT_click_count,Real9_2,Real9_RT_first_click,Real9_RT_last_click,Real9_RT_page_submit,Real9_RT_click_count,Real10_2,Real10_RT_first_click,Real10_RT_last_click,Real10_RT_page_submit,Real10_RT_click_count,Real11_2,Real11_RT_first_click,Real11_RT_last_click,Real11_RT_page_submit,Real11_RT_click_count,Real12_2,Real12_RT_first_click,Real12_RT_last_click,Real12_RT_page_submit,Real12_RT_click_count,pdiFirst,perceived_threat_to_identity_total,conspiracy_mentality_total,conservative_political_beliefs_total,need_for_closure_total,importance_of_identity_total,cognitive_reflection_test_total,belief_in_fake_news_total,belief_in_real_news_total
98,Non-religious Threat,1454,Female,21,Out of work and looking for work,"$20,000 to $29,999","1 or more years of college, no degree",Atheist,NA,No,Independent,NA,White,NA,Never married,Bisexual,NA,123.787,260.233,261.054,3,2,2,3,3,5,2,5,5,Personal Identity,5,8,7,5,6,1,9,3,4,2,2,7,5,5,2,3,7,5,5,2,6,5,6,4,2,6,6,3,5,4,3,6,5,3,5,4,4,4,5,10,11,9,7,10,$0.10,100 minutes/1 hour 40 minutes,24 days,999,4,5,1,1,4,3,3,2,35,34,41,1,8.03,8.03,8.941,1,2,4.693,4.693,5.614,1,1,11.06,15.325,16.352,2,2,7.917,7.917,9.427,1,2,13.997,14.452,15.215,2,3,4.332,4.332,5.715,1,1,14.175,14.817,17.402,2,1,5.438,5.438,8.793,1,1,6.012,6.012,7.146,1,3,11.085,11.085,13.358,1,3,4.249,4.249,5.652,1,3,5.674,5.674,6.961,1,2,16.916,16.916,17.915,1,4,3.696,4.616,5.663,2,2,8.115,10.945,11.383,3,3,4.67,4.67,6.736,1,2,2.703,2.703,3.74,1,3,3.598,3.598,4.342,1,3,5.919,6.959,7.721,2,2,11.334,11.334,12.044,1,3,5.6,5.6,6.291,1,2,3.046,3.046,7.34,1,3,3.755,3.755,4.91,1,2,12.347,12.347,13.503,1,0,4.9,9.4,0.009630455,4.266666667,3.375,0,23,31
99,Religious Threat,1441,Male,22,A student,"$100,000 to $149,999","1 or more years of college, no degree",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,259.297,259.297,260.518,1,4,2,3,3,3,3,3,3,N/A,7,6,4,8,7,1,5,3,2,9,2,5,4,1,5,2,7,2,2,5,4,2,2,6,5,5,6,1,5,5,5,6,5,5,5,6,6,1,5,8,8,8,2,8,0.1,100 minutes,24,999,4,3,3,3,4,4,3,4,60,60,60,2,11.752,11.752,12.76,1,2,13.141,14.705,15.177,3,3,12.635,12.635,13.653,1,3,6.122,6.122,7.032,1,3,7.231,8.041,9.306,3,3,4.098,4.098,4.986,1,2,13.696,14.192,24.009,2,3,7.791,8.127,9.156,2,1,59.976,59.976,61.629,1,3,2.836,2.836,3.842,1,3,11.655,12.081,12.999,2,1,7.037,11.719,13.281,6,3,5.771,6.71,14.531,2,3,4.512,4.512,5.261,1,3,3.52,3.52,4.616,1,3,2.851,2.851,3.535,1,3,4.629,4.629,5.517,1,3,8.429,8.835,9.798,2,3,3.698,5.035,5.449,3,3,3.993,4.438,5.221,2,3,4.02,4.02,6.62,1,3,4.553,4.553,6.243,1,3,3.595,4.308,5.325,3,2,8.008,9.065,9.331,2,0,2.6,6.8,0.686407439,5.066666667,3,0,29,35
100,Religious Threat,1216,Male,19,A student,"$150,000 or more","Some college credit, but less than 1 year",Christian,NA,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,213.322,213.322,214.432,1,3,2,4,4,2,3,4,5,N/A,7,7,8,3,6,5,4,2,1,9,2,3,2,4,2,2,7,2,2,3,2,2,2,4,2,5,5,4,4,5,5,6,3,3,3,5,4,2,4,8,8,11,7,8,0.1/2,5,12,999,1,4,1,1,2,1,1,1,34,67,70,2,5.122,5.122,6.002,1,1,1.969,1.969,2.729,1,2,3.521,3.521,4.786,1,2,6.253,6.253,7.112,1,3,3.606,3.606,4.288,1,3,5.563,5.563,6.4,1,1,7.118,7.118,8.451,1,1,7.887,9.867,10.944,3,1,8.572,8.572,9.442,1,3,3.86,3.86,4.719,1,1,4.349,4.349,5.388,1,2,5.651,5.651,6.461,1,1,3.668,3.668,4.707,1,3,3.972,3.972,4.66,1,2,2.921,3.278,3.958,2,1,2.343,2.343,3.112,1,2,3.052,3.606,4.544,2,1,2.147,2.147,2.929,1,3,4.386,4.386,5.303,1,1,4.735,5.567,6.137,2,3,6.689,6.689,7.756,1,3,5.407,7.782,8.414,2,2,2.579,2.579,3.616,1,3,5.789,7.016,8.064,2,1,2.3,8.4,-0.634769806,3.933333333,3.375,1,22,25
101,Non-religious Threat,923,Female,20,A student,"$100,000 to $149,999","1 or more years of college, no degree",Hindu,NA,Yes,Democrat,NA,Asian,NA,Never married,Heterosexual or straight,NA,86.056,86.056,87.718,1,5,5,4,3,5,6,6,5,cultural identity,6,5,4,6,7,8,2,3,9,1,7,2,2,5,7,6,7,5,5,6,4,7,7,4,1,6,6,4,6,6,6,6,6,1,3,5,6,1,6,11,9,4,10,1,$0.05,5,24,999,1,5,1,1,1,1,1,1,5,1,14,1,5.297,5.297,7.231,1,1,5.699,5.699,7.895,1,1,1.362,3.776,5.376,3,1,7.834,7.834,10.249,1,1,6.266,6.266,8.501,1,2,10.101,10.101,11.325,1,4,11.352,11.352,12.438,1,4,3.774,4.417,5.949,2,4,6.092,6.092,7.487,1,4,3.54,3.54,5.192,1,1,5.53,7.172,8.91,2,2,5.933,5.933,8.06,1,4,6.306,6.306,7.671,1,3,4.846,4.846,6.873,1,4,5.384,5.384,6.222,1,2,7.092,7.995,9.061,2,3,5.948,5.948,6.669,1,1,11.387,18.3,19.409,4,4,4.853,4.853,6.653,1,4,4.788,4.788,6.976,1,4,2.821,3.378,6.036,2,2,18.744,18.744,19.723,1,3,3.246,10.244,11.26,5,3,9.691,9.691,11.271,1,0,5,7,-1.130525686,4.733333333,4.875,2,26,37
102,Raelian Threat,2005,Male,22,A student,"Less than $10,000","Associate degree (for example: AA, AS)",Christian,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,261.815,262.991,263.509,2,6,4,5,5,1,3,5,4,N/A,7,1,3,4,5,8,7,2,6,9,4,2,1,1,5,3,7,2,3,1,2,4,5,4,1,5,5,2,6,3,5,6,5,2,4,2,4,2,6,9,8,7,6,6,$0.10,100 minutes,24 days,999,1,5,3,3,3,4,2,4,50,70,35,1,6.202,6.202,9.083,1,1,9.403,9.403,18.24,1,2,12.908,12.908,13.868,1,2,21.398,21.398,22.494,1,2,13.163,13.163,14.426,1,3,8.611,9.008,10.116,2,1,11.09,12.525,13.066,2,3,15.903,15.903,17.88,1,2,32.478,32.478,33.928,1,3,18.674,19.337,20.207,2,2,7.859,7.859,10.561,1,2,10.482,10.482,11.994,1,3,10.973,10.973,14.534,1,3,23.05,24.187,24.758,2,3,10.151,10.151,11.019,1,2,10.515,10.515,11.601,1,3,15.709,15.709,31.494,1,3,10.05,11.625,12.484,2,3,11.479,11.479,12.627,1,3,7.584,7.584,9.465,1,3,20.113,20.954,21.766,2,2,16.357,16.357,17.532,1,3,23.46,23.46,24.252,1,3,27.837,27.837,28.959,1,1,2.7,7.2,0.446287942,4.466666667,4.125,0,24,34
103,Religious Threat,1725,Female,18,A student,"$70,000 to $79,999","Some college credit, but less than 1 year",Christian,NA,Yes,Democrat,NA,White,NA,Never married,Bisexual,NA,157.825,157.825,159.867,1,5,4,3,2,2,3,5,5,N/A,7,2,5,7,6,8,4,1,3,9,3,3,4,2,2,5,7,5,5,3,1,6,1,5,1,6,6,1,3,5,6,6,2,5,4,6,6,2,5,9,6,6,8,7,10 cents,1 hr and 40 min or 100 min,24 days,999,4,4,1,2,4,3,3,2,35,20,40,3,22.404,22.404,27.708,1,2,21.511,21.511,23.467,1,2,21.33,25.664,27.295,3,1,19.021,19.021,20.386,1,3,6.502,6.502,8.489,1,3,6.151,6.151,7.82,1,1,18.055,18.452,19.817,2,2,12.878,14.6,16.002,3,1,24.017,24.779,26.756,2,3,9.892,9.892,11.523,1,1,9.069,9.069,10.305,1,1,11.583,11.583,12.69,1,1,6.752,6.752,7.799,1,3,15.015,15.4,16.469,2,3,8.057,10.056,12.606,2,2,20.791,20.791,23.242,1,2,11.288,11.288,12.463,1,2,30.755,30.755,32.177,1,4,7.574,9.88,11.039,3,3,11.503,11.503,13.382,1,1,10.357,12.465,13.543,3,2,19.153,19.153,20.24,1,3,9.224,9.768,10.666,2,2,30.917,30.917,31.728,1,0,3.5,7.2,-0.055976919,4.866666667,3.625,0,23,28
104,Non-religious Threat,1718,Male,20,Employed for wages,"Less than $10,000","1 or more years of college, no degree",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,255.497,255.497,256.934,1,4,3,5,5,5,5,5,4,N/A,1,2,8,5,6,7,4,1,3,9,2,2,3,2,2,2,1,3,2,2,2,2,3,4,4,5,5,3,5,5,4,6,3,5,4,6,5,2,5,7,8,7,5,6,10,500,24,999,4,2,1,4,5,4,4,4,92,47,40,1,5.504,5.504,7.976,1,1,6.944,6.944,9.007,1,1,5.165,5.165,8.399,1,1,16.729,16.729,18.222,1,1,7.583,7.583,9.063,1,4,10.641,10.641,12.578,1,1,7.483,7.483,8.531,1,2,24.701,24.701,31.873,1,1,11.038,11.038,12.66,1,1,17.427,17.427,19.346,1,2,17.055,17.055,18.324,1,1,8.527,8.527,12.558,1,2,22.512,22.512,23.619,1,3,10.129,10.129,12.85,1,4,7.242,7.242,8.288,1,3,27.287,27.287,28.353,1,3,14.202,14.202,15.86,1,3,21.622,21.622,22.54,1,3,16.062,17.407,18.375,2,4,7.48,7.48,8.441,1,1,23.323,23.323,26.132,1,2,14.765,15.517,16.76,2,3,11.498,11.498,12.746,1,4,13.896,13.896,15.665,1,1,2.3,6.6,0.617026088,4.333333333,4.5,0,17,35
105,Raelian Threat,1503,Female,20,A student,"$150,000 or more","1 or more years of college, no degree",Christian,NA,No,Democrat,NA,White,NA,Never married,Bisexual,NA,265.859,265.859,267.426,1,2,5,4,5,5,3,6,4,N/A,7,8,2,5,4,3,7,1,6,9,2,2,5,5,4,5,7,4,2,5,2,5,5,5,2,4,3,3,4,2,3,6,2,5,4,4,4,2,6,3,7,4,3,5,$0.05,100 minutes,24 days,999,1,4,1,1,2,3,2,2,20,10,20,1,5.34,5.34,6.486,1,2,5.341,5.341,6.089,1,2,2.453,2.453,3.416,1,2,19.175,19.175,21.349,1,1,7.517,7.517,8.599,1,3,5.467,5.467,6.356,1,2,9.284,9.284,10.123,1,3,10.264,10.264,11.441,1,2,9.511,11.481,12.101,2,2,4.535,4.535,5.294,1,2,10.928,10.928,11.855,1,2,14.545,14.545,15.474,1,3,3.612,3.612,6.617,1,2,22.006,22.006,23.35,1,3,11.705,11.705,12.623,1,3,15.787,15.787,17.14,1,3,9.016,9.016,9.994,1,3,4.786,7.964,8.874,2,3,15.437,15.437,16.542,1,3,7.256,7.256,8.214,1,2,19.715,20.695,21.84,2,2,19.619,19.619,20.351,1,2,24.89,24.89,26.143,1,1,22.58,22.58,25.477,1,0,3.7,4.4,-0.703286344,3.866666667,4.25,1,24,30
106,Non-religious Threat,1402,Female,18,A student,"$80,000 to $89,999",High school graduate - high school diploma or the equivalent (for example: GED),Christian,NA,No,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,196.619,196.619,198.34,1,3,1,3,1,4,1,5,4,N/A,7,7,5,4,8,2,6,1,3,9,2,2,2,5,2,2,7,5,2,2,2,2,2,6,4,4,6,2,6,6,6,6,5,5,4,4,6,2,5,11,11,11,11,11,$0.05,100,24,999,1,1,1,3,3,3,3,2,50,50,50,2,7.968,7.968,9.186,1,1,3.112,3.112,4.544,1,2,5.178,5.178,6.039,1,3,9.091,9.091,11.07,1,2,7.44,7.44,8.515,1,4,6.32,6.32,7.495,1,2,6.001,6.001,6.95,1,2,8.743,8.743,9.634,1,2,4.866,4.866,5.596,1,2,6.084,6.084,7.141,1,1,5.186,5.186,6.106,1,1,5.828,5.828,7.389,1,3,4.563,4.563,8.212,1,3,20.881,20.881,22.085,1,1,7.75,7.75,9.184,1,2,13.652,15.274,16.261,2,3,7.112,7.112,7.984,1,3,18.606,18.606,19.566,1,4,13.131,13.131,17.665,1,3,4.54,5.627,7.735,2,1,4.518,4.518,5.811,1,2,7.97,7.97,9.394,1,3,3.933,5.34,6.063,2,1,10.952,11.556,12.494,2,1,2.6,11,-0.325139341,4.8,2.75,1,24,29
107,Religious Threat,2302,Male,22,Self-employed,"Less than $10,000","Associate degree (for example: AA, AS)",Christian,NA,Yes,Independent,NA,Other,NA,Never married,Heterosexual or straight,NA,32.64,407.874,412.339,8,6,3,4,4,2,5,4,6,self,6,3,9,5,6,7,4,8,2,1,3,2,4,5,2,7,7,5,2,2,1,3,5,3,4,3,3,2,5,4,4,6,2,3,4,4,4,1,3,11,9,4,8,7,0.1,5,24,999,3,5,2,2,2,2,3,1,42,34,60,1,14.501,24.527,27.115,3,2,27.487,27.487,29.654,1,3,8.021,22.263,24.398,3,4,20.79,44.375,45.655,3,1,14.637,19.061,21.031,2,3,11.315,31.942,33.644,3,3,11.055,13.608,15.785,2,2,9.92,14.057,16.123,2,1,7.998,13.134,15.095,2,3,6.45,9.765,11.722,2,2,21.386,28.245,37.558,3,3,13.544,17.691,19.866,4,3,3.088,12.372,14.445,2,3,7.239,16.273,17.976,2,3,4.592,15.399,17.267,3,3,7.509,10.488,13.544,2,3,20.698,44.877,47.561,3,3,4.278,32.13,34.513,3,2,11.948,26.407,29.318,4,3,13.056,18.371,19.695,3,3,18.987,27.468,30.731,2,3,23.716,32.772,36.986,4,3,7.327,10.91,11.986,2,3,13.718,21.468,23.17,2,1,3.7,7.8,-0.070552755,3.2,4.25,1,28,35
108,Raelian Threat,1352,Female,20,A student,"$40,000 to $49,999","1 or more years of college, no degree",Christian,NA,Yes,Democrat,NA,Asian,NA,Never married,Heterosexual or straight,NA,251.906,251.906,253.262,1,3,1,4,4,4,5,6,6,N/A,7,4,8,6,5,7,2,1,3,9,1,3,2,2,5,1,1,3,2,5,1,2,5,5,4,6,4,2,6,5,5,6,5,4,4,6,5,3,4,9,10,9,6,7,2.1,1 HOUR 40 MINUTES,24,999,4,5,1,2,5,2,3,4,30,30,50,1,6.818,6.818,8.555,1,3,12.987,12.987,14.143,1,2,5.745,5.745,7.182,1,3,13.049,13.049,13.811,1,2,12.678,12.678,13.556,1,2,10.013,10.013,11.259,1,1,12.032,12.032,13.704,1,2,23.667,23.667,24.881,1,1,12.707,12.707,14.813,1,3,10.845,10.845,11.557,1,2,11.571,11.571,12.539,1,1,5.362,5.362,7.953,1,3,9.186,9.186,10.36,1,3,8.604,8.604,9.791,1,3,7.813,7.813,9.167,1,2,5,5,6.375,1,2,12.951,12.951,13.669,1,2,5.609,5.609,6.598,1,4,9.013,9.013,10.151,1,3,8.03,8.03,9.69,1,4,8.608,8.608,10.082,1,2,9.935,9.935,11.316,1,3,9.33,9.33,10.595,1,2,10.181,10.181,10.921,1,0,2.2,8.2,0.221417543,4.666666667,4.125,0,23,33
109,Raelian Threat,1074,Female,21,A student,"$90,000 to $99,999","1 or more years of college, no degree",Other,Not religious,No,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,157.923,176.589,178.31,3,1,3,5,6,4,1,4,6,N/A,1,7,6,3,4,5,8,2,1,9,2,2,2,2,2,2,7,2,2,2,2,2,2,5,2,6,5,2,6,5,5,6,5,4,4,5,5,2,5,8,9,8,9,8,0.1,100 minutes,24 days,999,5,3,1,1,3,3,1,3,20,15,90,3,6.713,6.713,7.502,1,2,5.946,5.946,6.849,1,2,4.752,4.752,5.69,1,1,8.094,8.094,8.924,1,1,7.428,7.428,8.624,1,3,6.265,6.789,7.657,2,1,6.048,6.048,7.393,1,1,7.804,7.804,8.664,1,1,5.859,5.859,7.232,1,1,5.186,5.186,6.036,1,1,9.133,9.133,9.895,1,1,8.378,8.378,9.891,1,4,4.289,4.289,4.94,1,4,6.636,8.248,8.578,3,2,6.436,6.436,7.355,1,2,23.626,27.248,29.078,3,4,7.758,7.758,8.945,1,3,6.223,6.223,6.894,1,3,10.481,10.481,11.233,1,1,5.991,5.991,7.157,1,3,9.697,9.697,10.398,1,1,6.318,7.97,9.273,3,2,5.74,5.74,6.915,1,1,11.582,13.532,14.349,3,1,2,8.4,-0.229859645,4.8,3.75,0,18,30
110,Religious Threat,1324,Male,22,A student,"$90,000 to $99,999","1 or more years of college, no degree",Catholic,NA,No,Republican,NA,American Indian or Alaska Native,NA,Never married,Heterosexual or straight,NA,227.6,227.6,229.811,1,1,1,6,6,6,5,5,6,N/A,7,8,7,1,2,3,4,5,6,9,1,1,1,1,1,1,7,1,1,1,1,1,1,4,2,4,4,3,4,5,4,6,3,6,4,5,5,4,5,5,9,8,8,7,$0.10,100 minutes,24,999,2,3,2,2,4,3,2,4,40,30,46,2,7.589,7.589,10.11,1,1,5.151,5.151,8.455,1,2,4.632,4.632,8.588,1,1,8.487,8.487,9.493,1,1,18.598,18.598,20.165,1,3,5.168,5.168,6.338,1,2,9.456,9.456,11.047,1,3,12.119,12.119,13.286,1,1,5.812,8.117,10.323,3,1,13.916,13.916,15.022,1,1,9.218,9.218,10.592,1,2,6.943,6.943,13.403,1,2,7.761,7.761,9.404,1,2,7.774,7.774,9.309,1,2,6.169,6.169,7.345,1,2,7.62,7.62,10.26,1,3,14.211,14.211,14.982,1,3,4.901,4.901,5.898,1,3,6.136,6.136,7.928,1,3,7.928,7.928,9.113,1,2,11.103,11.103,11.9,1,3,9.547,9.547,10.702,1,2,7.246,7.246,8.406,1,2,7.281,7.281,8.131,1,0,1,7.4,-0.030993561,4.4,4.5,0,20,29
111,Non-religious Threat,1875,Female,21,A student,"$90,000 to $99,999","1 or more years of college, no degree",Agnostic,NA,No,Democrat,NA,Black or African American,NA,Never married,Heterosexual or straight,NA,211.096,211.096,212.579,1,1,2,1,1,3,1,6,4,n/a,7,4,3,6,7,5,8,1,2,9,3,2,3,3,7,2,7,6,3,6,1,6,2,4,4,4,5,3,3,6,4,6,4,2,4,4,6,3,3,11,10,10,10,11,0.1,100,24,999,1,3,1,3,1,3,2,2,22,11,33,2,8.141,8.537,9.457,2,2,9.339,9.339,10.434,1,3,6.086,10.371,10.972,4,3,10.134,10.134,10.922,1,2,9.854,15.96,17.74,2,4,6.28,8.883,9.545,2,3,11.105,11.105,13.569,1,2,8.088,8.088,9.561,1,2,31.951,40.561,47.654,4,3,7.458,7.458,8.368,1,2,16.738,16.738,18.239,1,3,14,14,14.739,1,2,11.8,14.137,14.728,3,2,19.778,27.684,28.683,2,3,11.484,11.484,12.62,1,2,5.292,5.292,6.348,1,3,6.385,7.296,8.245,2,3,11.286,19.844,22.425,2,3,5.42,5.42,6.567,1,3,8.228,10.268,10.989,4,2,6.331,31.626,44.063,2,3,11.958,11.958,16.361,1,3,5.602,5.602,6.766,1,3,3.496,16.45,20.556,3,1,3.1,10.4,-0.643952509,3.866666667,2.375,0,31,32
112,Religious Threat,997,Female,19,A student,"$50,000 to $59,999","1 or more years of college, no degree",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,156.519,156.519,157.816,1,6,6,4,6,3,4,6,5,N/A,7,1,3,4,5,8,6,2,7,9,5,6,4,2,6,5,7,5,2,2,6,6,5,4,4,6,6,2,4,6,4,6,3,3,5,6,6,4,4,4,7,8,4,6,0.5,100,24,999,1,5,5,4,5,3,3,5,100,100,78,2,5.912,5.912,7.424,1,2,8.493,8.493,10.351,1,2,4.07,4.07,5.207,1,3,14.146,14.146,15.53,1,3,4.414,4.414,5.291,1,3,4.846,4.846,5.668,1,3,8.259,8.259,9.147,1,2,5.981,5.981,6.956,1,2,4.651,5.482,6.492,2,2,4.78,4.78,5.67,1,2,5.829,5.829,6.725,1,2,6.009,6.009,6.777,1,2,3.876,5.103,5.97,2,3,9.856,9.856,11.169,1,3,4.586,4.586,5.396,1,2,3.3,3.3,4.773,1,4,7.252,8.271,8.962,2,3,4.148,4.148,5.065,1,3,6.757,6.757,7.596,1,3,5.266,5.266,6.107,1,2,7.521,7.521,8.596,1,3,9.992,9.992,11.536,1,2,6.638,6.638,7.774,1,3,5.804,5.804,6.737,1,0,4.6,5.8,1.383598068,4.6,5,0,28,33
113,Non-religious Threat,828,Female,19,A student,"$20,000 to $29,999","Some college credit, but less than 1 year",Christian,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,86.216,86.216,87.364,1,2,3,4,2,4,2,3,2,N/A,7,4,3,6,7,2,5,1,8,9,2,4,4,3,3,1,7,5,2,5,5,3,5,4,3,5,4,4,6,5,5,6,6,5,6,5,6,4,6,8,10,10,6,9,0.5,20 minutes,24,999,4,4,1,2,2,4,3,3,20,15,30,2,3.949,3.949,5.195,1,3,7.058,7.058,8.57,1,2,2.704,2.704,5.167,1,2,12.858,12.858,14.376,1,1,3.956,4.59,5.845,2,3,3.314,3.314,4.31,1,1,4.115,4.115,5.897,1,1,8.478,10.091,11.166,2,2,3.943,3.943,6.593,1,4,3.253,3.253,4.212,1,4,6.748,7.658,8.675,2,1,4.866,4.866,6.161,1,4,2.964,2.964,4.32,1,3,6.547,6.547,7.455,1,3,3.57,3.57,4.588,1,4,5.26,7.069,7.63,2,4,3.925,3.925,4.913,1,3,4.397,5.237,5.681,2,3,4.611,7.727,10.174,2,2,2.717,2.717,3.555,1,4,4.391,4.391,5.102,1,3,4.923,7.208,7.602,3,1,3.581,3.581,5.032,1,2,4.964,4.964,6.155,1,0,3.4,8.6,-0.12209507,4.933333333,2.75,0,26,36
114,Raelian Threat,1100,Female,19,A student,"Less than $10,000","1 or more years of college, no degree",Atheist,NA,No,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,179.931,179.931,181.791,1,2,2,5,5,4,4,2,5,N/A,7,7,6,1,2,3,5,8,4,9,2,3,2,4,5,2,7,5,4,2,4,3,5,4,4,4,5,2,4,4,4,6,3,2,5,4,4,3,5,10,9,6,7,9,$0.10,100 minutes,47 days,999,2,3,1,2,3,3,3,4,50,50,50,2,5.061,5.061,6.621,1,2,8.521,8.521,9.498,1,3,4.664,4.664,5.75,1,3,11.754,11.754,13.017,1,2,8.111,8.111,11.562,1,2,4.481,4.481,5.468,1,1,12.038,12.038,16.587,1,1,11.543,12.048,15.9,2,1,5.562,5.562,8.547,1,2,3.887,3.887,4.955,1,2,11.135,11.135,12.221,1,1,9.939,9.939,10.897,1,3,4.034,4.034,6.338,1,3,4.514,4.514,6.027,1,3,3.759,3.759,4.966,1,3,12.334,12.334,13.43,1,3,7.405,7.405,8.135,1,3,3.528,3.528,5.011,1,2,5.764,5.764,9.537,1,3,3.815,3.815,5.239,1,2,11.202,14.091,14.98,3,2,6.337,6.337,7.513,1,3,7.627,7.627,8.584,1,3,7.65,7.65,8.886,1,1,3.4,8.2,0.006748055,3.733333333,3.625,1,22,33
115,Non-religious Threat,1317,Female,20,A student,"$80,000 to $89,999","1 or more years of college, no degree",Catholic,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,223.328,223.328,224.535,1,6,3,4,5,2,2,4,6,N/A,7,1,3,5,6,8,7,4,2,9,2,3,6,3,5,4,7,2,4,1,2,6,4,4,2,5,5,6,3,6,3,6,3,4,5,4,3,2,4,8,9,11,6,10,5 cents,5 minutes,47 days,999,5,3,2,4,5,3,3,4,71,65,91,2,8.205,10.4,10.847,4,3,8.19,9.913,10.595,5,2,8.448,8.448,9.456,1,4,8.228,8.228,9.543,1,2,11.845,11.845,13.283,1,4,6.547,6.547,7.453,1,1,13.499,13.499,14.497,1,2,25.395,25.7,26.492,2,1,5.448,13.781,14.187,2,3,7.639,7.639,9.38,1,3,9.516,9.516,10.434,1,1,6.468,6.468,7.477,1,3,7.305,7.305,8.136,1,4,10.977,10.977,11.41,1,3,9.55,10.648,11.477,3,2,8.997,8.997,9.835,1,3,4.97,4.97,6.432,1,2,12.629,12.629,13.636,1,2,11.822,13.217,14.373,3,3,16.57,24.071,33.225,2,1,17.262,17.262,18.072,1,2,9.074,9.074,10.428,1,2,17.471,18.966,21.34,3,3,10.867,10.867,12.09,1,1,3.6,8.8,0.865880422,4.133333333,4,3,28,30
