variable,label,value_labels,scale,subscale,keying,
Real5_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real6_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real6_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real6_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real6_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real6_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real7_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real7_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real7_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real7_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real7_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real8_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real8_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real8_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real8_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real8_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real9_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real9_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real9_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real9_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real9_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real10_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real10_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real10_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real10_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real10_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real11_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real11_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real11_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real11_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real11_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
Real12_2,"To the best of your knowledge, how accurate is the claim in the above headline?",1. Not at all accurate 2. Not very accurate 3. Somewhat accurate 4. Very accurate,Belief in Real News,NA,1,
Real12_RT_first_click,How long until the first click.,Reaction Time,Belief in Real News,NA,1,
Real12_RT_last_click,How long until the last click.,Reaction Time,Belief in Real News,NA,1,
Real12_RT_page_submit,How long until the page was submitted.,Reaction Time,Belief in Real News,NA,1,
Real12_RT_click_count,Number of clicks.,Number of Clicks,Belief in Real News,NA,1,
pdiFirst,Which was first?,NA,NA,NA,NA,
perceived_threat_to_identity_total,Perceived Threat to Identity - Total Score,NA,NA,NA,NA,
conspiracy_mentality_total,Conspiracy Mentality - Total Score,NA,NA,NA,NA,
conservative_political_beliefs_total,Conservative Political Beliefs - Total Score,NA,NA,NA,NA,
need_for_closure_total,Need for Closure - Total Score,NA,NA,NA,NA,
importance_of_identity_total,Importance of Identity - Total Score,NA,NA,NA,NA,
cognitive_reflection_test_total,Cognitive Reflection Test - Total Score,NA,NA,NA,NA,
belief_in_fake_news_total,Belief in Fake News - Total Score,NA,NA,NA,NA,
belief_in_real_news_total,Belief in Real News - Total Score,NA,NA,NA,NA,
